timestamp,content,style,size,steps,alpha,beta,gamma,lr,seed,final_total_loss,wall_time_s,ssim_vs_content,final_image
2025-09-15T01:51:10.345889+00:00,city.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,3.103746e+12,92.618,0.246079,outputs\runs\city__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T01:52:45.891727+00:00,city.jpg,cubism.jpg,256,50,1000,1000,10,0.02,42,3.103776e+12,93.175,0.246062,outputs\runs\city__cubism__256px_50s_a1000_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T01:56:26.020065+00:00,city.jpg,cubism.jpg,256,100,1,1000,10,0.02,42,1.428488e+12,217.278,0.244690,outputs\runs\city__cubism__256px_100s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T02:00:05.224614+00:00,city.jpg,cubism.jpg,256,100,1,2000,10,0.02,42,2.857624e+12,216.228,0.244654,outputs\runs\city__cubism__256px_100s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T02:03:32.293321+00:00,city.jpg,cubism.jpg,256,100,1,5000,10,0.02,42,7.142381e+12,204.430,0.244629,outputs\runs\city__cubism__256px_100s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T02:07:10.594528+00:00,city.jpg,cubism.jpg,256,100,1,1000,10,0.02,42,1.428488e+12,215.283,0.244690,outputs\runs\city__cubism__256px_100s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T02:12:41.471668+00:00,city.jpg,cubism.jpg,384,100,1,1000,10,0.02,42,7.395289e+11,326.425,0.232279,outputs\runs\city__cubism__384px_100s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:33:43.644235+00:00,city.jpg,cubism.jpg,512,100,1,1000,10,0.02,42,4.410629e+11,8330.670,0.233825,outputs\runs\city__cubism__512px_100s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:35:06.345029+00:00,city.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,3.103746e+12,80.303,0.246079,outputs\runs\city__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:36:25.764419+00:00,city.jpg,cubism.jpg,256,50,1,2000,10,0.02,42,6.206629e+12,79.414,0.246053,outputs\runs\city__cubism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T04:37:46.953962+00:00,city.jpg,cubism.jpg,256,50,1,5000,10,0.02,42,1.551139e+13,81.184,0.246090,outputs\runs\city__cubism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T04:39:09.539829+00:00,city.jpg,Da Vinci.jpg,256,50,1,1000,10,0.02,42,2.746302e+11,80.679,0.373760,outputs\runs\city__Da Vinci__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:40:30.291313+00:00,city.jpg,Da Vinci.jpg,256,50,1,2000,10,0.02,42,5.497980e+11,80.746,0.373639,outputs\runs\city__Da Vinci__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T04:41:50.935874+00:00,city.jpg,Da Vinci.jpg,256,50,1,5000,10,0.02,42,1.374923e+12,80.638,0.373747,outputs\runs\city__Da Vinci__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T04:43:13.495172+00:00,city.jpg,hokusai.jpg,256,50,1,1000,10,0.02,42,5.344476e+11,80.663,0.343004,outputs\runs\city__hokusai__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:44:48.209421+00:00,city.jpg,hokusai.jpg,256,50,1,2000,10,0.02,42,1.069056e+12,94.708,0.342987,outputs\runs\city__hokusai__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T04:46:18.862549+00:00,city.jpg,hokusai.jpg,256,50,1,5000,10,0.02,42,2.671535e+12,90.649,0.342972,outputs\runs\city__hokusai__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T04:47:42.182719+00:00,city.jpg,monet.jpg,256,50,1,1000,10,0.02,42,5.587573e+10,81.314,0.347962,outputs\runs\city__monet__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:49:09.778239+00:00,city.jpg,monet.jpg,256,50,1,2000,10,0.02,42,1.117518e+11,87.590,0.347961,outputs\runs\city__monet__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T04:50:45.123093+00:00,city.jpg,monet.jpg,256,50,1,5000,10,0.02,42,2.793487e+11,95.340,0.347946,outputs\runs\city__monet__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T04:52:31.988051+00:00,city.jpg,Starry_night.jpg,256,50,1,1000,10,0.02,42,3.247747e+11,104.164,0.343732,outputs\runs\city__Starry_night__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:54:11.444560+00:00,city.jpg,Starry_night.jpg,256,50,1,2000,10,0.02,42,6.494895e+11,99.450,0.343742,outputs\runs\city__Starry_night__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T04:55:48.890049+00:00,city.jpg,Starry_night.jpg,256,50,1,5000,10,0.02,42,1.624445e+12,97.439,0.343732,outputs\runs\city__Starry_night__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
